radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
LTE,736,1,10100,2818563,0,-68.137894,-16.509933,1000,3,1,1458598164,1474980936,0
LTE,736,1,10100,2877699,0,-68.122787,-16.510048,1000,8,1,1458598164,1478884844,0
LTE,736,1,10100,2880001,0,-68.129379,-16.49968,1000,5,1,1458598164,1477245757,0
LTE,736,1,10102,2833153,0,-68.199692,-16.49025,1000,3,1,1458598164,1462466102,0
LTE,736,1,255,3402241,0,-63.132247924805,-17.820510864258,1000,1,1,1439913382,1439913382,0
LTE,736,1,10100,2859265,0,-68.128280639648,-16.514511108398,1000,25,1,1458598164,1478442300,0
LTE,736,1,10100,2825987,0,-68.129654,-16.507416,1000,6,1,1458598164,1479448490,0
LTE,736,1,10102,2855425,0,-68.169479,-16.524239,1000,12,1,1458598164,1487418499,0
LTE,736,1,10103,2866178,0,-68.137893676758,-16.533737182617,1000,1,1,1457362423,1457362423,0
LTE,736,1,10100,2855939,0,-68.134804,-16.502151,1000,4,1,1458598164,1467980002,0
LTE,736,1,10103,2864642,0,-68.122482,-16.509171,3047,9,1,1458598165,1478024346,0
LTE,736,1,10100,2820867,0,-68.139659,-16.500778,1000,7,1,1458598164,1477752088,0
LTE,736,1,10100,2819075,0,-68.146133422852,-16.49528503418,1000,1,1,1449053888,1449053888,0
LTE,736,1,10102,2826753,0,-68.179092407227,-16.554336547852,1000,1,1,1449053888,1449053888,0
LTE,736,1,10100,2868993,0,-68.136520385742,-16.506271362305,1000,1,1,1457461337,1457461337,0
LTE,736,1,10102,2831873,0,-68.174286,-16.484985,1000,2,1,1458598164,1459279042,0
LTE,736,1,255,3087107,0,-66.168594360352,-17.36457824707,1000,1,1,1439807656,1439807656,0
LTE,736,1,255,3334657,0,-63.130874633789,-17.81364440918,1000,1,1,1440019345,1440019345,0
LTE,736,1,255,3355393,0,-63.140487670898,-17.735366821289,1000,1,1,1439807663,1439807663,0
LTE,736,1,10102,2850562,0,-68.176345825195,-16.555709838867,1000,1,1,1449053888,1449053888,0
LTE,736,1,255,3396865,0,-63.188552856445,-17.788925170898,1000,1,1,1440417146,1440417146,0
